,Type,Text
2074,spam,"FreeMsg: Claim ur 250 SMS messages-Text OK to 84025 now!Use web2mobile 2 ur mates etc. Join Txt250.com for 1.50p/wk. T&C BOX139, LA32WU. 16 . Remove txtX or stop"
3244,ham,Pls accept me for one day. Or am begging you change the number.
1235,ham,"""Hello-/@drivby-:0quit edrunk sorry iff pthis makes no senrd-dnot no how ^ dancce 2 drum n basq!ihave fun 2nhite x ros xxxxxxx"""
3217,spam,URGENT! We are trying to contact U. Todays draw shows that you have won a £2000 prize GUARANTEED. Call 09066358361 from land line. Claim Y87. Valid 12hrs only
2676,ham,I'm sick !! I'm needy !! I want you !! *pouts* *stomps feet* Where are you ?! *pouts* *stomps feet* I want my slave !! I want him now !!
716,ham,When i have stuff to sell i.ll tell you
2256,ham,"I just lov this line: ""Hurt me with the truth, I don't mind,i wil tolerat.bcs ur my someone..... But, Never comfort me with a lie"" gud ni8 and sweet dreams"
3271,ham,K actually can you guys meet me at the sunoco on howard? It should be right on the way
2997,ham,They released vday shirts and when u put it on it makes your bottom half naked instead of those white underwear.
4476,ham,We will meet soon princess! Ttyl!
4693,ham,"By march ending, i should be ready. But will call you for sure. The problem is that my capital never complete. How far with you. How's work and the ladies"
261,ham,Yup
1710,ham,U meet other fren dun wan meet me ah... Muz b a guy rite...
2978,ham,"Ok omw now, you at castor?"
3772,ham,"Hi, wlcome back, did wonder if you got eaten by a lion or something, nothing much"
3098,ham,"Yo, you at jp and hungry like a mofo?"
4141,ham,Leave it wif me lar... Ü wan to carry meh so heavy... Is da num 98321561 familiar to ü?
4365,ham,So what about you. What do you remember
1616,ham,Mm i had my food da from out
4091,spam,We tried to call you re your reply to our sms for a video mobile 750 mins UNLIMITED TEXT + free camcorder Reply of call 08000930705 Now
611,spam,22 days to kick off! For Euro2004 U will be kept up to date with the latest news and results daily. To be removed send GET TXT STOP to 83222
156,ham,Aaooooright are you at work?
5232,ham,"Nope, I'm still in the market"
548,ham,"Sorry that took so long, omw now"
3726,ham,Nothing spl..wat abt u and whr ru?
2158,ham,"Sad story of a Man - Last week was my b'day. My Wife did'nt wish me. My Parents forgot n so did my Kids . I went to work. Even my Colleagues did not wish. As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there. She said,'' do u mind if I go into the bedroom for a minute ? '' ''OK'', I sed in a sexy mood. She came out 5 minuts latr wid a cake...n My Wife, My Parents, My Kidz, My Friends n My Colleagues. All screaming.. SURPRISE !! and I was waiting on the sofa.. ... ..... ' NAKED...!"
4379,ham,"Doing nothing, then u not having dinner w us?"
3944,ham,I got a call from a landline number. . . I am asked to come to anna nagar . . . I will go in the afternoon
3576,ham,And do you have any one that can teach me how to ship cars.
286,ham,"K, I might come by tonight then if my class lets out early"
895,ham,Doesn't g have class early tomorrow and thus shouldn't be trying to smoke at  &lt;#&gt;
1391,ham,"I wonder how you got online, my love ? Had you gone to the net cafe ? Did you get your phone recharged ? Were you on a friends net ? I think of you, boytoy"
1022,spam,Guess what! Somebody you know secretly fancies you! Wanna find out who it is? Give us a call on 09065394514 From Landline DATEBox1282EssexCM61XN 150p/min 18
3036,ham,Raji..pls do me a favour. Pls convey my Birthday wishes to Nimya. Pls. Today is her birthday.
3803,ham,No da. I am happy that we sit together na
1285,ham,But if she.s drinkin i'm ok.
1667,ham,Guess who spent all last night phasing in and out of the fourth dimension
4821,spam,Check Out Choose Your Babe Videos @ sms.shsex.netUN fgkslpoPW fgkslpo
2919,ham,Thanks chikku..:-) gud nyt:-*
160,spam,You are a winner U have been specially selected 2 receive £1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810
2392,ham,PICK UR FONE UP NOW U DUMB?
3647,ham,Carlos says we can pick up from him later so yeah we're set
4698,ham,"Okey dokey, i‘ll be over in a bit just sorting some stuff out."
4216,ham,No dear i was sleeping :-P
3718,ham,I'm gonna rip out my uterus.
4822,ham,Im good! I have been thinking about you...
5235,ham,Hey what how about your project. Started aha da.
3329,ham,"No we put party 7 days a week and study lightly, I think we need to draw in some custom checkboxes so they know we're hardcore"
1541,ham,K come to nordstrom when you're done
5173,ham,Oh k. . I will come tomorrow
3567,ham,Its ok..come to my home it vl nice to meet and v can chat..
3464,ham,i am seeking a lady in the street and a freak in the sheets. Is that you?
1563,ham,Dude just saw a parked car with its sunroof popped up. Sux
3776,ham,Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.
3848,spam,"Fantasy Football is back on your TV. Go to Sky Gamestar on Sky Active and play £250k Dream Team. Scoring starts on Saturday, so register now!SKY OPT OUT to 88088"
1418,ham,No wonder... Cos i dun rem seeing a silver car... But i thk i saw a black one...
5567,ham,Huh y lei...
229,ham,"Life is more strict than teacher... Bcoz Teacher teaches lesson &amp; then conducts exam, But Life first conducts Exam &amp; then teaches Lessons. Happy morning. . ."
3025,ham,I love ya too but try and budget your money better babe. Gary would freak on me if he knew
4323,ham,Sorry . I will be able to get to you. See you in the morning.
3784,ham,Can you do online transaction?
5170,ham,"I‘ve got some salt, you can rub it in my open wounds if you like!"
5483,ham,Shall call now dear having food
2246,ham,How did you find out in a way that didn't include all of these details
2925,ham,Thts god's gift for birds as humans hav some natural gift frm god..
3390,ham,O. Guess they both got screwd
4230,ham,Have you bookedthe hut? And also your time off? How are you by the way?
239,ham,"New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, I'm always correct.!"
2360,spam,"Spook up your mob with a Halloween collection of a logo & pic message plus a free eerie tone, txt CARD SPOOK to 8007 zed 08701417012150p per logo/pic"
1672,ham,Glad to see your reply.
221,ham,Ok no prob. Take ur time.
1044,ham,Mmm thats better now i got a roast down me! i'd b better if i had a few drinks down me 2! Good indian?
455,spam,"Loan for any purpose £500 - £75,000. Homeowners + Tenants welcome. Have you been previously refused? We can still help. Call Free 0800 1956669 or text back 'help'"
3514,ham,Staff of placement training in Amrita college.
4529,ham,HOW ARE U? I HAVE MISSED U! I HAVENT BEEN UP 2 MUCH A BIT BORED WITH THE HOLIDAY WANT 2 GO BAK 2 COLLEGE! SAD ISNT IT?xx
5402,ham,HARD BUT TRUE: How much you show &amp;  express your love to someone....that much it will hurt when they leave you or you get seperated...!鈥┾??〨ud evening...
4898,ham,I cant pick the phone right now. Pls send a message
4068,spam,"You are being contacted by our Dating Service by someone you know! To find out who it is, call from your mobile or landline 09064017305 PoBox75LDNS7"
3626,ham,I want to tel u one thing u should not mistake me k THIS IS THE MESSAGE THAT YOU SENT:)
4978,ham,"A boy was late 2 home. His father: ""POWER OF FRNDSHIP"""
178,ham,"Turns out my friends are staying for the whole show and won't be back til ~ &lt;#&gt; , so feel free to go ahead and smoke that $ &lt;#&gt;  worth"
2085,ham,How are you. Wish you a great semester
97,ham,i see. When we finish we have loads of loans to pay
176,ham,Let me know when you've got the money so carlos can make the call
2267,spam,<Forwarded from 88877>FREE entry into our £250 weekly comp just send the word ENTER to 88877 NOW. 18 T&C www.textcomp.com
2329,ham,That day you asked about anand number. Why:-)
339,ham,"Sorry, I'll call later"
4980,ham,Spending new years with my brother and his family. Lets plan to meet next week. Are you ready to be spoiled? :)
1636,ham,"You have come into my life and brought the sun ..Shiny down on me, warming my heart. Putting a constant smile on my face ... Making me feel loved and cared for"
120,spam,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires
1194,spam,Sex up ur mobile with a FREE sexy pic of Jordan! Just text BABE to 88600. Then every wk get a sexy celeb! PocketBabe.co.uk 4 more pics. 16 £3/wk 087016248
3563,ham,Still chance there. If you search hard you will get it..let have a try :)
1396,ham,Thats cool! I am a gentleman and will treat you with dignity and respect.
4851,ham,Maybe you should find something else to do instead???
912,ham,I am sorry it hurt you.
2201,ham,Haha... can... But i'm having dinner with my cousin...
4725,spam,"FREE GAME. Get Rayman Golf 4 FREE from the O2 Games Arcade. 1st get UR games settings. Reply POST, then save & activ8. Press 0 key for Arcade. Termsapply"
2504,ham,Fwiw the reason I'm only around when it's time to smoke is that because of gas I can only afford to be around when someone tells me to be and that apparently only happens when somebody wants to light up
4210,ham,I want kfc its Tuesday. Only buy 2 meals ONLY 2. No gravy. Only 2 Mark. 2!
3963,spam,"You have been specially selected to receive a ""3000 award! Call 08712402050 BEFORE the lines close. Cost 10ppm. 16+. T&Cs apply. AG Promo"
2418,ham,Oh... Lk tt den we take e one tt ends at cine lor... Dun wan yogasana oso can...
2022,ham,"I don't have anybody's number, I still haven't thought up a tactful way to ask alex"
1654,ham,I was at bugis juz now wat... But now i'm walking home oredi... Ü so late then reply... I oso saw a top dat i like but din buy... Where r ü now?
2653,ham,No need for the drug anymore.
150,ham,Sindu got job in birla soft ..
4997,ham,Happy new year. Hope you are having a good semester
1040,ham,They just talking thats it de. They wont any other.
1176,ham,Horrible u eat macs eat until u forgot abt me already rite... U take so long 2 reply. I thk it's more toot than b4 so b prepared. Now wat shall i eat?
4253,ham,"Send ur birthdate with month and year, I will tel u ur LIFE PARTNER'S name. and the method of calculation. Reply must."
2389,ham,"wiskey Brandy Rum Gin Beer Vodka Scotch Shampain Wine ""KUDI""yarasu dhina vaazhthukkal. .."
4275,ham,Ball is moving a lot.will spin in last :)so very difficult to bat:)
478,ham,Tension ah?what machi?any problem?
2523,ham,Dunno lei... I might b eatin wif my frens... If ü wan to eat then i wait 4 ü lar
5049,ham,Yeah so basically any time next week you can get away from your mom &amp; get up before 3
4376,spam,Ur TONEXS subscription has been renewed and you have been charged £4.50. You can choose 10 more polys this month. www.clubzed.co.uk *BILLING MSG*
2284,ham,I reach home safe n sound liao...
1687,spam,todays vodafone numbers ending with 0089(my last four digits) are selected to received a £350 award. If your number matches please call 09063442151 to claim your £350 award
3272,spam,You have 1 new voicemail. Please call 08719181513.
4651,ham,"Finally it has happened..! Aftr decades..! BEER is now cheaper than PETROL! The goverment expects us to ""DRINK"". . . But don't ""DRIVE """
2091,ham,S:-)kallis wont play in first two odi:-)
4723,ham,"I'm home, my love ... If your still awake ... *loving kiss*"
1007,spam,Panasonic & BluetoothHdset FREE. Nokia FREE. Motorola FREE & DoubleMins & DoubleTxt on Orange contract. Call MobileUpd8 on 08000839402 or call 2optout
1593,ham,Will it help if we propose going back again tomorrow
1990,ham,The basket's gettin full so I might be by tonight
3789,spam,"Want to funk up ur fone with a weekly new tone reply TONES2U 2 this text. www.ringtones.co.uk, the original n best. Tones 3GBP network operator rates apply"
1536,spam,You have won a Nokia 7250i. This is what you get when you win our FREE auction. To take part send Nokia to 86021 now. HG/Suite342/2Lands Row/W1JHL 16+
3706,ham,Ok. Very good. Its all about making that money.
3033,ham,Jokin only lar... :-) depends on which phone my father can get lor...
1955,ham,Good night. Am going to sleep.
1231,ham,I want to send something that can sell fast.  &lt;#&gt; k is not easy money.
1567,ham,I am late. I will be there at
3868,ham,"Alright we're hooked up, where you guys at"
285,ham,"Yeah I think my usual guy's still passed out from last night, if you get ahold of anybody let me know and I'll throw down"
3075,ham,Don know. I did't msg him recently.
4703,ham,Anytime...
11,spam,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info"
1807,spam,Todays Voda numbers ending 1225 are selected to receive a £50award. If you have a match please call 08712300220 quoting claim code 3100 standard rates app
2990,spam,No 1 POLYPHONIC tone 4 ur mob every week! Just txt PT2 to 87575. 1st Tone FREE ! so get txtin now and tell ur friends. 150p/tone. 16 reply HL 4info
1179,ham,"I'm outside islands, head towards hard rock and you'll run into me"
1074,ham,Lul im gettin some juicy gossip at the hospital. Two nurses are talking about how fat they are gettin. And one thinks shes obese. Oyea.
4491,ham,My computer just fried the only essential part we don't keep spares of because my fucking idiot roommates looovvve leaving the thing running on full  &lt;#&gt; /7
1068,ham,Meeting u is my work. . . Tel me when shall i do my work tomorrow
3456,ham,No need lar. Jus testing e phone card. Dunno network not gd i thk. Me waiting 4 my sis 2 finish bathing so i can bathe. Dun disturb u liao u cleaning ur room.
3887,ham,"Same, I'm at my great aunts anniversary party in tarpon springs"
2301,ham,Nothin comes to my mind. Ü help me buy hanger lor. Ur laptop not heavy?
4589,ham,I wanted to wish you a Happy New Year and I wanted to talk to you about some legal advice to do with when Gary and I split but in person. I'll make a trip to Ptbo for that. I hope everything is good with you babe and I love ya :)
4011,spam,"Wan2 win a Meet+Greet with Westlife 4 U or a m8? They are currently on what tour? 1)Unbreakable, 2)Untamed, 3)Unkempt. Text 1,2 or 3 to 83049. Cost 50p +std text"
2689,ham,Yes I know the cheesy songs from frosty the snowman :)
4647,spam,We tried to contact you re your reply to our offer of a Video Phone 750 anytime any network mins Half Price Line Rental Camcorder Reply or call 08000930705
5132,ham,Any way where are you and what doing.
5123,ham,"Oops I did have it,  &lt;#&gt; ?"
2822,ham,Oh god..taken the teeth?is it paining
96,ham,Watching telugu movie..wat abt u?
1447,ham,Looks like u wil b getting a headstart im leaving here bout 2.30ish but if u r desperate for my company I could head in earlier-we were goin to meet in rummer.
4002,ham,He's just gonna worry for nothing. And he won't give you money its no use.
63,ham,"Sorry my roommates took forever, it ok if I come by now?"
3046,ham,"Hello, yeah i've just got out of the bath and need to do my hair so i'll come up when i'm done, yeah?"
1678,ham,Lol where do u come up with these ideas?
1140,ham,Message:some text missing* Sender:Name Missing* *Number Missing *Sent:Date missing *Missing U a lot thats y everything is missing sent via fullonsms.com
2082,ham,I'm aight. Wat's happening on your side.
1775,ham,"Its ok chikku, and its my 1 of favourite song..:-)"
1520,ham,Check wid corect speling i.e. Sarcasm
1913,ham,For real tho this sucks. I can't even cook my whole electricity is out. And I'm hungry.
4405,ham,"Sorry, I'll call later  &lt;#&gt; mins"
1721,ham,"Fighting with the world is easy, u either win or lose bt fightng with some1 who is close to u is dificult if u lose - u lose if u win - u still lose."
3499,ham,You said to me before i went back to bed that you can't sleep for anything.
3434,ham,"Christmas is An occasion that is Celebrated as a Reflection of UR... Values..., Desires..., Affections...&amp; Traditions.... Have an ideal Christmas..."
2423,ham,A bloo bloo bloo I'll miss the first bowl
3513,ham,Already one guy loving you:-.
5000,ham,"Hmph. Go head, big baller."
2544,ham,Package all your programs well
2493,ham,No drama Pls.i have had enough from you and family while i am struggling in the hot sun in a strange place.No reason why there should be an ego of not going 'IF NOT INVITED' when actually its necessity to go.wait for very serious reppurcussions.
3303,ham,Stop calling everyone saying I might have cancer. My throat hurts to talk. I can't be answering everyones calls. If I get one more call I'm not babysitting on Monday
3731,ham,"I guess you could be as good an excuse as any, lol."
3679,spam,Promotion Number: 8714714 - UR awarded a City Break and could WIN a £200 Summer Shopping spree every WK. Txt STORE to 88039 . SkilGme. TsCs087147403231Winawk!Age16 £1.50perWKsub
5126,ham,"He is impossible to argue with and he always treats me like his sub, like he never released me ... Which he did and I will remind him of that if necessary"
504,ham,Lolnice. I went from a fish to ..water.?
4317,ham,"I can't speak, bcaz mobile have problem. I can listen you but you cann't listen my voice. So i calls you later."
2145,spam,FreeMsg: Hey - I'm Buffy. 25 and love to satisfy men. Home alone feeling randy. Reply 2 C my PIX! QlynnBV Help08700621170150p a msg Send stop to stop txts
1434,ham,You intrepid duo you! Have a great time and see you both soon.
3017,ham,"&lt;#&gt;  is fast approaching. So, Wish u a very Happy New Year Happy Sankranti Happy republic day Happy Valentines Day Happy Shivratri Happy Ugadi Happy Fools day Happy May Day Happy Independence Day, Happy Friendship,Mother,Father,Teachers,Childrens Day, &amp; HAPPY BIRTHDAY 4 U. Happy Ganesh festival Happy Dasara Happy Diwali Happy Christmas  &lt;#&gt;  Good Mornings Afternoons, Evenings Nights. RememberI AM the first to WISHING U ALL THESE...your's Raj"
3110,ham,Lol I was gonna last month. I cashed some in but I left &lt;#&gt; just in case. I was collecting more during the week cause they announced it on the blog.
3164,spam,This is the 2nd time we have tried to contact u. U have won the £1450 prize to claim just call 09053750005 b4 310303. T&Cs/stop SMS 08718725756. 140ppm
915,ham,"Call me da, i am waiting for your call."
2096,ham,"Probably, want to pick up more?"
4243,spam,Show ur colours! Euro 2004 2-4-1 Offer! Get an England Flag & 3Lions tone on ur phone! Click on the following service message for info!
4594,ham,It's ok i wun b angry. Msg u aft i come home tonight.
4901,spam,"ou are guaranteed the latest Nokia Phone, a 40GB iPod MP3 player or a £500 prize! Txt word: COLLECT to No: 83355! IBHltd LdnW15H 150p/Mtmsgrcvd18"
5089,ham,"Good morning, im suffering from fever and dysentry ..will not be able to come to office today."
3983,ham,His frens go then he in lor. Not alone wif my mum n sis lor.
3702,ham,Shall i get my pouch?
5243,ham,Its a part of checking IQ
1509,ham,Sounds like something that someone testing me would sayy
3665,ham,Huh? 6 also cannot? Then only how many mistakes?
128,ham,Are you there in room.
3248,ham,* You gonna ring this weekend or wot?
5381,ham,Somebody set up a website where you can play hold em using eve online spacebucks
2409,ham,Dear where you will be when i reach there
1668,ham,So now my dad is gonna call after he gets out of work and ask all these crazy questions.
4283,ham,U can call now...
4541,ham,"Urgh, coach hot, smells of chip fat! Thanks again, especially for the duvet (not a predictive text word)."
5391,ham,Ok.ok ok..then..whats ur todays plan
3578,ham,Yeah confirmed for you staying at  that weekend
4165,ham,"Its ok, called mom instead have fun"
147,spam,"FreeMsg Why haven't you replied to my text? I'm Randy, sexy, female and live local. Luv to hear from u. Netcollex Ltd 08700621170150p per msg reply Stop to end"
4199,spam,"Want to funk up ur fone with a weekly new tone reply TONES2U 2 this text. www.ringtones.co.uk, the original n best. Tones 3GBP network operator rates apply"
2773,ham,Still in customer place
3218,ham,Come to mahal bus stop.. &lt;DECIMAL&gt;
87,ham,Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.
1041,ham,Today am going to college so am not able to atten the class.
3457,ham,Ok. I.ll do you right later.
5335,ham,"Neither [in sterm voice] - i'm studying. All fine with me! Not sure the  thing will be resolved, tho. Anyway. Have a fab hols"
5544,ham,Armand says get your ass over to epsilon
5103,ham,Nope thats fine. I might have a nap tho!
1243,ham,Nobody can decide where to eat and dad wants Chinese
4929,ham,Just hopeing that wasn‘t too pissed up to remember and has gone off to his sisters or something!
3175,ham,It vl bcum more difficult..
2592,ham,Still work going on:)it is very small house.
4066,ham,Dont kick coco when he's down
2940,ham,Are you ok. What happen to behave like this
1468,ham,I wont touch you with out your permission.
3023,ham,How dare you change my ring
5085,ham,Aiya we discuss later lar... Pick ü up at 4 is it?
5529,ham,"Total disappointment, when I texted you was the craziest shit got :("
3775,ham,Ok... But bag again..
3368,ham,Hey what are you doing. Y no reply pa..
2075,ham,Yar lor actually we quite fast... Cos da ge slow wat... Haha...
4083,ham,No no. I will check all rooms befor activities
2139,ham,K still are you loving me.
4262,ham,Pls dont forget to study
3228,ham,Wife.how she knew the time of murder exactly
5563,ham,Get me out of this dump heap. My mom decided to come to lowes. BORING.
2146,spam,"Sunshine Hols. To claim ur med holiday send a stamped self address envelope to Drinks on Us UK, PO Box 113, Bray, Wicklow, Eire. Quiz Starts Saturday! Unsub Stop"
2492,ham,"Greetings me, ! Consider yourself excused."
1035,ham,ZOE IT JUST HIT ME 2 IM FUCKING SHITIN MYSELF IL DEFO TRY MY HARDEST 2 CUM 2MOROW LUV U MILLIONS LEKDOG
565,ham,"Fuck babe ... I miss you already, you know ? Can't you let me send you some money towards your net ? I need you ... I want you ... I crave you ..."
3533,ham,"Actually, my mobile is full of msg. And i m doing a work online, where i need to send them  &lt;#&gt;  sent msg i wil explain u later."
773,ham,"idc get over here, you are not weaseling your way out of this shit twice in a row"
618,ham,For my family happiness..
4532,ham,I wish things were different. I wonder when i will be able to show you how much i value you. Pls continue the brisk walks no drugs without askin me please and find things to laugh about. I love you dearly.
2757,ham,Have a good trip. Watch out for . Remember when you get back we must decide about easter.
372,ham,I will spoil you in bed as well :)
1575,ham,My sis is catching e show in e afternoon so i'm not watching w her. So c u wan 2 watch today or tmr lor.
3758,spam,YES! The only place in town to meet exciting adult singles is now in the UK. Txt CHAT to 86688 now! 150p/Msg.
539,ham,Ummmmmaah Many many happy returns of d day my dear sweet heart.. HAPPY BIRTHDAY dear
694,ham,Will purchase d stuff today and mail to you. Do you have a po box number?
5449,ham,So that takes away some money worries
1780,spam,"Loan for any purpose £500 - £75,000. Homeowners + Tenants welcome. Have you been previously refused? We can still help. Call Free 0800 1956669 or text back 'help'"
1840,ham,Are we doing the norm tomorrow? I finish just a 4.15 cos of st tests. Need to sort library stuff out at some point tomo - got letter from today - access til end march so i better get move on!
21,ham,I‘m going to try for 2 months ha ha only joking
1495,ham,It has everything to do with the weather. Keep extra warm. Its a cold but nothing serious. Pls lots of vitamin c
3687,ham,"I get out of class in bsn in like  &lt;#&gt;  minutes, you know where advising is?"
3378,ham,Yup. Wun believe wat? U really neva c e msg i sent shuhui?
2779,spam,"For ur chance to win a £250 cash every wk TXT: ACTION to 80608. T's&C's www.movietrivia.tv custcare 08712405022, 1x150p/wk."
274,ham,"Usf I guess, might as well take 1 car"
4385,ham,Thanks honey but still haven't heard anything I will leave it a bit longer so not 2 crowd him and will try later - great advice thanks hope cardiff is still there!
4820,ham,Got smaller capacity one? Quite ex...
3195,ham,And you! Will expect you whenever you text! Hope all goes well tomo
395,ham,Pick you up bout 7.30ish? What time are  and that going?
5344,spam,"u r subscribed 2 TEXTCOMP 250 wkly comp. 1st wk?s free question follows, subsequent wks charged@150p/msg.2 unsubscribe txt STOP 2 84128,custcare 08712405020"
164,spam,-PLS STOP bootydelious (32/F) is inviting you to be her friend. Reply YES-434 or NO-434 See her: www.SMS.ac/u/bootydelious STOP? Send STOP FRND to 62468
4193,ham,&lt;#&gt;  w jetton ave if you forgot
4269,ham,Hey so whats the plan this sat?
3820,ham,"sorry brah, just finished the last of my exams, what up"
2382,ham,"Best line said in Love: . ""I will wait till the day I can forget u Or The day u realize that u cannot forget me.""... Gn"
321,ham,"Merry Christmas to you too babe, i love ya *kisses*"
203,ham,Your account has been refilled successfully by INR  &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs  &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .
808,ham,Boooo you always work. Just quit.
1011,ham,Lol I would but my mom would have a fit and tell the whole family how crazy and terrible I am
5273,ham,So u wan 2 come for our dinner tonight a not?
4834,spam,"New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today! From ONLY £1. www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18 TXTAUCTION."
2023,spam,"U can WIN £100 of Music Gift Vouchers every week starting NOW Txt the word DRAW to 87066 TsCs www.ldew.com SkillGame,1Winaweek, age16.150ppermessSubscription"
5096,ham,"Hi Shanil,Rakhesh here.thanks,i have exchanged the uncut diamond stuff.leaving back. Excellent service by Dino and Prem."
2196,ham,"V-aluable. A-ffectionate. L-oveable. E-ternal. N-oble. T-ruthful. I-ntimate. N-atural. E-namous. Happy ""VALENTINES DAY"" in advance"
544,ham,4 oclock at mine. Just to bash out a flat plan.
4132,ham,"""Its Ur luck to Love someone. Its Ur fortune to Love the one who Loves U. But, its a miracle to Love a person who can't Love anyone except U..."" Gud nyt..."
5367,spam,Camera - You are awarded a SiPix Digital Camera! call 09061221066 fromm landline. Delivery within 28 days.
4022,ham,We have to pick rayan macleran there.
471,spam,okmail: Dear Dave this is your final notice to collect your 4* Tenerife Holiday or #5000 CASH award! Call 09061743806 from landline. TCs SAE Box326 CW25WX 150ppm
1114,ham,"No I'm good for the movie, is it ok if I leave in an hourish?"
1755,ham,How is your schedule next week? I am out of town this weekend.
2408,ham,"Solve d Case : A Man Was Found Murdered On  &lt;DECIMAL&gt; . &lt;#&gt;  AfterNoon. 1,His wife called Police. 2,Police questioned everyone. 3,Wife: Sir,I was sleeping, when the murder took place. 4.Cook: I was cooking. 5.Gardener: I was picking vegetables. 6.House-Maid: I went 2 d post office. 7.Children: We went 2 play. 8.Neighbour: We went 2 a marriage. Police arrested d murderer Immediately. Who's It? Reply With Reason, If U r Brilliant."
5253,ham,"Yeah work is fine, started last week, all the same stuff as before, dull but easy and guys are fun!"
5217,ham,I keep ten rs in my shelf:) buy two egg.
972,ham,"Haha awesome, omw back now then"
3765,ham,Would me smoking you out help us work through this difficult time
3343,ham,You will go to walmart. I.ll stay.
510,ham,Your opinion about me? 1. Over 2. Jada 3. Kusruthi 4. Lovable 5. Silent 6. Spl character 7. Not matured 8. Stylish 9. Simple Pls reply..
1786,ham,I dun believe u. I thk u told him.
2847,ham,Wat time u finish ur lect today?
3406,ham,"Jus chillaxin, what up"
1513,ham,"Hey sweet, I was wondering when you had a moment if you might come to me ? I want to send a file to someone but it won't go over yahoo for them because their connection sucks, remember when you set up that page for me to go to and download the format disc ? Could you tell me how to do that ? Or do you know some other way to download big files ? Because they can download stuff directly from the internet. Any help would be great, my prey ... *teasing kiss*"
75,ham,I am waiting machan. Call me once you free.
400,ham,Hmmm...k...but i want to change the field quickly da:-)i wanna get system administrator or network administrator..
330,ham,I'm reading the text i just sent you. Its meant to be a joke. So read it in that light
442,ham,You were supposed to wake ME up &gt;:(
2509,ham,Ok...
